rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,controlMode
1532095528922010000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.37156264209747314, 0.0, 0.10159414209747314","1.0, 0.0, 0.0, 0.0, 2.1025789754268963e-05, -0.0010985340049704528, -0.0017676994332038534, 0.001292114804558403","0.9997472077122818, 0.0003778708666235754, 0.022414747174971467, 0.0009812436699589593, -0.00015016073493887965, 0.36534308734846, -0.0034774280817154936, 0.09173657925912859","-1.1282428694897217, -0.7754272882760767, 0.4302816110018586, 1.37137882436956, -0.34246121089541864, 1.0722525707319042, 0.18752915131899184","1.0151117863831725, -0.8548107940491468, -0.324436936637765, 1.481058450703367, 0.26000974354657763, 1.0937283017623, -0.08206797215186963","-0.012441847873740784, 0.023200478500015484, 0.010121518994954852, -0.028986600174132963, 0.010827079593812456, 0.01127130928762841, -0.006618874929440614, 0.0013191941220805311, 0.018735540845156, 0.0037410644981677827, -0.03161949196979217, 0.007666918460021305, 0.017944905994856195, -0.011092508559351186",0.0487010976,0.0048994281,1532095528.92,0
1532095529774790000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3719881809473038, 0.0, 0.10201968094730376","1.0, 0.0, 0.0, 0.0, 1.0988773162718714e-06, 0.0006288272606443934, -0.0015876423469313077, 0.0018606918612611573","0.9997137948291219, 0.001528827671534373, 0.023814520005032626, 0.000929680498543696, -0.0005756510830347762, 0.365667263984467, -0.0029257594134746772, 0.09263360173782252","-1.1270923838988078, -0.7738933074881912, 0.4314320965927726, 1.36294193003619, -0.3401602397135905, 1.076471017898589, 0.184461189743221","1.0151117863831725, -0.8548107940491468, -0.3240534414407937, 1.4818254410973097, 0.2619272195314344, 1.096029272944128, -0.08283496254581234","-0.015523714404786655, 0.02374328224619771, 0.010322515845618408, -0.028977411216213656, 0.012260541564323114, 0.010328009620312778, -0.008930465125082745, -0.0019764314907971, 0.018489807952412285, 0.003983454809927026, -0.03094348501717735, 0.008769337749693979, 0.016826279691549536, -0.013096034770193093",0.0512686734,0.0050510221,1532095529.77,0
1532095530624810000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3724563498735428, 0.0, 0.10248784987354277","1.0, 0.0, 0.0, 0.0, 4.952581381816729e-06, 0.0006108532516048149, -0.0009849275125291823, 0.00226101743626006","0.9996907400721448, 0.001706317077997454, 0.024752197314285438, 0.0009211437124297391, -0.0006415949554354097, 0.36591628258670106, -0.002756208643670363, 0.09254750672111171","-1.1267088887018364, -0.7719758315033345, 0.43219908698671533, 1.3591069780664766, -0.3378592685317624, 1.0783884938834458, 0.1836941993492783","1.013577805595287, -0.8502088516854905, -0.32328645104685094, 1.4772234987336534, 0.2626942099253771, 1.097946748928985, -0.08321845774278369","-0.015768123997853573, 0.023665698918892836, 0.01065460741993562, -0.029796591932630418, 0.012533815163509073, 0.01095905426504809, -0.009200482826846115, -0.002724977768833689, 0.018271749747536495, 0.004454587185421506, -0.031332883481022984, 0.009264032009375889, 0.017239960805133594, -0.014128962813975294",0.0532127341,0.0050815052,1532095530.62,0
1532095531484900000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.37296702094078066, 0.0, 0.10299852094078063","1.0, 0.0, 0.0, 0.0, 8.436825809775717e-06, 0.0007552320692982284, -0.0019894485614616823, 0.002831915197727422","0.9997152398023175, 0.0033380666086298117, 0.023441855571032486, 0.0026054203082537804, -0.0013889648135244352, 0.36719492488242467, -0.0033328062847971796, 0.09249000509870339","-1.1278593742927505, -0.7696748603215063, 0.432966077380658, 1.349903093339164, -0.337475773334791, 1.0826069410501307, 0.17985924737956477","1.0105098440195164, -0.8444564237309202, -0.3202184894710801, 1.4672526236123982, 0.26537867630417655, 1.0994807297168703, -0.08666991451552587","-0.012691820256842302, 0.025071074616279165, 0.01062512610533552, -0.032736229860813655, 0.010856113642475114, 0.013781821247412451, -0.0062172346460069045, 0.001448817448431131, 0.018763324845700726, 0.0038759408551768816, -0.029154416609571753, 0.0076195175905683235, 0.016329875549449358, -0.010572380835434436",0.0511295065,0.0070846382,1532095531.48,0
1532095532340890000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3735206990718842, 0.0, 0.10355219907188415","1.0, 0.0, 0.0, 0.0, 6.003328209215966e-06, 5.292612832114019e-05, -0.0019463111825610984, 0.0012734530286964418","0.9996622947538645, 0.005005946375117451, 0.02538293385372476, 0.0019894001753990795, -0.0019461578505202202, 0.36677923077255375, -0.0028885014777530553, 0.09185789076275848","-1.1286263646866932, -0.7620049563820793, 0.4333495725776294, 1.3464516365664219, -0.33555829734993425, 1.0864418930198443, 0.177941771394708","1.0070583872467742, -0.839854481367264, -0.3171505278953093, 1.463801166839656, 0.2676796474860047, 1.1021651960956698, -0.08705340971249723","0.006818862446003118, -0.023176812169419417, -0.006127083220156376, 0.002090417535566763, -0.005294812348833817, 0.005492296148995045, 0.006056568117950971, 0.0012685531361688223, -0.019384663871005285, 0.003939258442581275, 0.001415837828667131, 0.0014740130798698418, 0.0024790434697252997, 0.004950505657067138",0.055698757,0.0046530038,1532095532.34,0
1532095533185620000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.37411717489957813, 0.0, 0.10414867489957809","1.0, 0.0, 0.0, 0.0, 1.634601468432622e-05, -0.0017435805661201176, -0.0018452107064101063, -0.0006233978933960216","0.9997434461378631, 0.005842214996349709, 0.021744933831670844, 0.0020211160486623913, -0.0022753151696128533, 0.36794834904157386, -0.002722913586914035, 0.09119102387193714","-1.1286263646866932, -0.7616214611851079, 0.43373306777460074, 1.3472186269603645, -0.33555829734993425, 1.0856749026259016, 0.17832526659167935","1.0055244064588886, -0.8402379765642354, -0.31676703269833795, 1.4557477677032578, 0.2692136282738901, 1.103315681686584, -0.08743690490946858","-0.007947668831803242, 0.019525872576457937, 0.009927592542475822, -0.031077432456570242, 0.008169453570551575, 0.015017615019488617, -0.004603070676702216, 0.003205199223752118, 0.010188751898407613, 0.00647148589173466, -0.025522395405505254, 0.007757134043696162, 0.019300647336337778, -0.009804199597836474",0.0495539541,0.0052281931,1532095533.19,0
1532095534035320000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3747558888077736, 0.0, 0.10478738880777358","1.0, 0.0, 0.0, 0.0, 1.1215868567557036e-05, -0.0006347165423954415, -0.001677972486890924, 0.00046836318658544096","0.9996987680599352, 0.0061063780900329255, 0.023631963727828036, 0.002151932296229041, -0.0023858392966143874, 0.36775635052644357, -0.0025060056853695814, 0.09232777448192445","-1.127475879095779, -0.7616214611851079, 0.4345000581685434, 1.3406992086118517, -0.33402431656204884, 1.0929613113683574, 0.17717478100076528","1.00590790165586, -0.8402379765642354, -0.31676703269833795, 1.4565147580972004, 0.2692136282738901, 1.1063836432623546, -0.08743690490946858","-0.011644057785894026, 0.021864897722104343, 0.010762998075788215, -0.033014349668652694, 0.010275796718832346, 0.014762953732372961, -0.00697019926675824, 0.0006700292112449397, 0.0128202504340532, 0.006438978382786153, -0.028691689440487007, 0.009014255803145936, 0.01960765168409572, -0.012402508887229078",0.0532945184,0.0037082723,1532095534.04,0
1532095534928910000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3754370900988579, 0.0, 0.10546859009885787","1.0, 0.0, 0.0, 0.0, 5.812299839262798e-06, 0.00014395017957902212, -0.0014018365819457607, 0.0012547082875896953","0.9996891378029062, 0.00659641496033074, 0.023898048369045986, 0.0022394878524565048, -0.002583542896003726, 0.36857390338605694, -0.002352200384531422, 0.09273832775378824","-1.1278593742927505, -0.7608544707911652, 0.43641753415340023, 1.3334127998693959, -0.33172334538022075, 1.096029272944128, 0.1737233242280231","1.0051409112619174, -0.8371700149884646, -0.31676703269833795, 1.4519128157335441, 0.27074760906177553, 1.1086846144441829, -0.08820389530341129","-0.011552073033599028, 0.021711939367572194, 0.010840847088724404, -0.03407899284528457, 0.010161778265456965, 0.015771191021861485, -0.006822283401948408, 0.00022831931187615635, 0.01196088968846183, 0.00669370542275497, -0.02690285519994233, 0.009071242273967854, 0.018626033003047517, -0.012441887715362376",0.053954195,0.0037736774,1532095534.93,0
1532095535750280000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3761629711031914, 0.0, 0.10619447110319136","1.0, 0.0, 0.0, 0.0, 9.058660356177015e-06, -0.00046996093786594306, -0.0017577425671940028, 0.00042970492330801635","0.9996763642749986, 0.0075767970895947645, 0.02389942915995464, 0.004073989594838388, -0.003122034722262757, 0.3689404777368744, -0.0021232329173605834, 0.09238640116213773","-1.1278593742927505, -0.7589369948063085, 0.43795151494128565, 1.3334127998693959, -0.33018936459233533, 1.097946748928985, 0.16988837225830958","1.0043739208679747, -0.8318010822308656, -0.3136990711225671, 1.4419419406122889, 0.2715145994557182, 1.1129030616108677, -0.08858739050038264","0.007042689763649998, -0.024396555532170853, -0.0074419739224303545, 0.0015085367279928396, -0.006592043502085401, 0.008141614537966142, 0.007439622175668866, 0.0019510026817317733, -0.01845760775914949, 0.0028418267370329776, -0.003551588193631235, 0.001030571121746028, 0.00700383982490592, 0.004945119104828557",0.0555526753,0.003739074,1532095535.75,0
1532095536596900000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3769299244642258, 0.0, 0.10696142446422575","1.0, 0.0, 0.0, 0.0, 4.595418397439557e-06, -0.00019743415434325673, -0.001410637626063495, 0.00103395858349771","0.9996430794456631, 0.010036670558643157, 0.024627626248956848, 0.002116712002025916, -0.0038750876095238742, 0.36944252409728334, -0.0012808846163628541, 0.09319961988129975","-1.127475879095779, -0.7597039852002512, 0.4387185053352283, 1.3299613430966537, -0.3305728597893067, 1.099097234519899, 0.16988837225830958","0.9997719785043184, -0.8306505966399516, -0.3106311095467963, 1.4411749502183462, 0.27496605622846043, 1.1140535472017816, -0.08858739050038264","0.00789149961308283, -0.024489126342889574, -0.007954935452126947, -0.00035481741876678655, -0.008026059427355, 0.009466258725773113, 0.007988643451380664, 0.002469428768651042, -0.018771478077593072, 0.002286692800417469, -0.0019777875527549407, -0.00042161487923160707, 0.00540608222616903, 0.005045292430357189",0.0577809985,0.0035201984,1532095536.6,0
