rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,controlMode
1532096858852222412,"[0.9973522534469781, -0.0727219536607392, -0.0, -0.0, 0.0, 0.0, -3.6296742696002334e-05, -2.6465775068455114e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3714716217517853, 0.0, 0.1015031217517853]","[1.0, 0.0, 0.0, 0.0, 1.4875184239187622e-05, -0.00037344428934488194, -0.001415555085117537, 0.0011400795777584266]","[0.9998262376364211, 0.004601466051083653, 0.017609484582599647, 0.003771493299367355, -0.001999665252048503, 0.36577440087133617, -0.002110257692311139, 0.09369759396878481]","[-1.1167380135805811, -0.7838641826094465, 0.42798063982003043, 1.3755972715362448, -0.35204859081970247, 1.0776215034895031, 0.19750002644024703]","[1.016645767171058, -0.8693836115340582, -0.32328645104685094, 1.4879613642488514, 0.2699806186678328, 1.0910438353835006, -0.09242234247009617]","[-0.025642762038811356, 0.0180594704623129, 0.018364276894137305, -0.024031018181092906, 0.02548615488072633, 0.011665736984651249, -0.02130022429633165, 0.014731992481036332, 0.011054961570097189, -0.00709885534287127, -0.023615838055113976, -0.00862485598286381, 0.015753461228971, 0.004610542109168659]",0.0406655516557,0.145618559433,1532096858.85,0
1532096859664023072,"[0.9967303525578796, -0.0807997790210165, -0.0, -0.0, 0.0, 0.0, -4.031174075940209e-05, -3.2678645101489972e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.37187606153488156, 0.0, 0.10190756153488162]","[1.0, 0.0, 0.0, 0.0, 9.555981141894142e-06, 7.969963311627026e-05, 8.986187553905022e-06, 0.0014237076570240426]","[0.9997692583363167, 0.007486577212926286, 0.019821898624292972, 0.00323620378723297, -0.003019475797229631, 0.36601391510568587, -0.0012945440713197287, 0.094013845624381]","[-1.110985585626011, -0.7792622402457902, 0.4260631638351737, 1.3690778531877317, -0.3524320860166738, 1.0826069410501307, 0.19750002644024703]","[1.0108933392164876, -0.8628641931855452, -0.3202184894710801, 1.483359421885195, 0.27534955142543177, 1.0941117969592713, -0.09664078963678106]","[-0.030353891495882378, 0.016825947888726153, 0.019940871888866854, -0.02205521344238664, 0.029021024553638794, 0.010166880017374393, -0.0261539487226533, 0.011168827447084181, 0.009202457833197088, -0.006968769998702656, -0.0233589898330549, -0.008155031241706152, 0.015846070176888855, 0.001760066185496751]",0.0458498493388,0.161801364138,1532096859.66,0
1532096860473038415,"[0.9960415003985116, -0.0888894227896768, -0.0, -0.0, 0.0, 0.0, -4.4327282315654535e-05, -3.955885911678493e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3723210960268974, 0.0, 0.10235259602689746]","[1.0, 0.0, 0.0, 0.0, -2.356853893183391e-06, -0.00048590779233842474, -0.0009475793948093854, -0.0003799120609824652]","[0.9997364968361475, 0.011362684980887367, 0.019415135558217972, 0.004345195919359787, -0.004544899141860521, 0.3662751974679814, -0.001297946238039435, 0.09367394960502079]","[-1.1102185952320682, -0.774660297882134, 0.4241456878503169, 1.3675438723998463, -0.35434956200153056, 1.0814564554592168, 0.19788352163721837]","[1.0051409112619174, -0.8597962316097744, -0.3144660615165098, 1.477606993930625, 0.28033498898605935, 1.096029272944128, -0.10162622719740866]","[-0.03171160238088515, 0.017986882927928327, 0.021900660173603502, -0.02361855592104579, 0.030998661338183627, 0.011085727054436828, -0.028278107873902857, 0.01354574282781779, 0.006954581747962003, -0.0067767023355334395, -0.022826872938635667, -0.009008162068586699, 0.01770555407470973, 0.0032211067744030222]",0.0487896450478,0.178027210917,1532096860.47,0
1532096861284627501,"[0.9952898994681415, -0.09694336499573758, -0.0, -0.0, 0.0, 0.0, -4.831926271021925e-05, -4.706399536200313e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3728065753102302, 0.0, 0.10283807531023029]","[1.0, 0.0, 0.0, 0.0, 8.341967953569979e-06, 0.000133777335476426, -0.000505802806279099, 0.0006139400607143575]","[0.9996744587000108, 0.014486597045700768, 0.02034281225562682, 0.005028804909236059, -0.0057619726422325655, 0.3666487641695167, -0.0013157399445243682, 0.09452938373781657]","[-1.1086846144441829, -0.7742768026851626, 0.42452918304728826, 1.3610244540513334, -0.35473305719850196, 1.0868253882168157, 0.19750002644024703]","[0.9990049881103757, -0.8555777844430895, -0.3106311095467963, 1.4733885467639398, 0.2849369313497156, 1.0983302441259561, -0.10776215034895031]","[-0.010308546299180397, -0.020918621383171496, 0.0048393957421220424, 0.0026066871364434675, 0.012677775793859574, 0.007686442057542974, -0.00968747393645924, 0.023660637044702705, -0.01674090246016497, -0.015549965848525842, 0.0009229049862551067, -0.024081093088828148, 0.0026571362437308537, 0.02673472248182405]",0.0536913427154,0.194198081743,1532096861.28,0
1532096862084525823,"[0.9944703358640998, -0.10501786079684033, -0.0, -0.0, 0.0, 0.0, -5.231503743919691e-05, -5.524562293351161e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3733326346158981, 0.0, 0.10336413461589816]","[1.0, 0.0, 0.0, 0.0, -1.9854229229248135e-05, -0.0011277975761501136, 0.0006761751296331765, 0.0003952415673609405]","[0.9996825458623372, 0.016407215106486378, 0.01887629603801526, 0.0027019746272605267, -0.006276784646187287, 0.367472299749334, -0.0005866498843195935, 0.09499303271175862]","[-1.1029321864896124, -0.775810783473048, 0.4210777262745461, 1.3625584348392188, -0.3608689803500436, 1.0868253882168157, 0.20325245439481732]","[0.9936360553527768, -0.8559612796400609, -0.3090971287589109, 1.4699370899911977, 0.2880048929254864, 1.0994807297168703, -0.10814564554592167]","[-0.010609685138070243, -0.020819218939423595, 0.005798951807616356, 0.0024253512829913873, 0.013248848234491578, 0.008671635600534749, -0.0108244477735123, 0.025891782547005325, -0.01575878027221878, -0.017386312010723878, 0.00019218925390705006, -0.027009874392188674, 0.0038100976813949874, 0.027473028871740003]",0.0527611559078,0.210442465494,1532096862.08,0
1532096862892380558,"[0.9935983055815167, -0.11297082431114153, -0.0, -0.0, 0.0, 0.0, -5.6243879818117304e-05, -6.394855375473667e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3738986971735954, 0.0, 0.10393019717359546]","[1.0, 0.0, 0.0, 0.0, -2.5741369495702396e-05, -0.0009274487300783285, 0.0008409436114639987, -6.514423070540232e-05]","[0.9996603323595136, 0.01849222873304436, 0.018024194019903537, 0.003222931899880377, -0.007103512116476098, 0.36744836617548726, -0.00019108202515359521, 0.09606288853992076]","[-1.0975632537320135, -0.7788787450488188, 0.41800976469877527, 1.3644759108240756, -0.3647039323197571, 1.0879758738077296, 0.20747090156150222]","[0.9921020745648913, -0.8609467172006885, -0.30756314797102546, 1.4718545659760545, 0.2899223689103432, 1.1010147105047556, -0.11083011192472114]","[-0.011861220065846962, -0.019216880699061908, 0.006449737878611047, 0.00042805570235405154, 0.014339372829470483, 0.009773804525247877, -0.011303022411825327, 0.028442025789858424, -0.013991612363488743, -0.01970454336795418, -0.0018580949659678654, -0.029860247735284014, 0.004833440397934168, 0.029410509224258644]",0.0547053332093,0.226439799938,1532096862.89,0
1532096863707698696,"[0.9926534169154533, -0.12099253648913727, -0.0, -0.0, 0.0, 0.0, -6.019931947968663e-05, -7.337574459170561e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3745051456928253, 0.0, 0.10453664569282535]","[1.0, 0.0, 0.0, 0.0, -8.863975042907105e-06, -0.00025447483738871846, 0.0016988092983070504, 0.0008404987937645492]","[0.9996349082214081, 0.020466334857074008, 0.017452753519226007, 0.002140042118477917, -0.007759841472523562, 0.36815710677579233, 0.0007551625090926571, 0.09766262260453575]","[-1.0910438353835006, -0.7830971922155037, 0.41609228871391846, 1.36294193003619, -0.3708398554712988, 1.088359369004701, 0.21399031991001521]","[0.9909515889739773, -0.8640146787764593, -0.30833013836496814, 1.472238061173026, 0.29375732088005674, 1.103315681686584, -0.11236409271260656]","[-0.012907647767393823, -0.0180624339562743, 0.007252791153868817, -0.0012955239147292457, 0.015209553701472943, 0.010797175877435079, -0.012343682957547165, 0.030110839780805688, -0.012901867667145758, -0.0218870636011697, -0.00029729400373173457, -0.03326534202080635, 0.0032068088135731774, 0.03079854042550353]",0.0565483154308,0.24261159696,1532096863.71,0
1532096864513865796,"[0.9916338701795184, -0.1290824058994483, -0.0, -0.0, 0.0, 0.0, -6.418032319652515e-05, -8.35444490022498e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3751523636341095, 0.0, 0.10518386363410953]","[0.9993744161842396, -0.03488149664316507, 0.0033340217468111333, -0.0043615756165948875, -3.526560214857366e-05, -0.0008210680578415452, 0.002642105178127959, 0.0005056379757785306]","[0.9998161773318156, 0.004462271054601591, 0.01856127532214866, -0.0010841772181343695, -0.0015285330570561117, 0.368234839439043, -0.00039422662090298237, 0.0992404531703547]","[-1.0852914074289302, -0.7842476778064178, 0.4103398607593482, 1.363708920430133, -0.37735927381981177, 1.0879758738077296, 0.22127672865247094]","[0.9855826562163783, -0.8674661355492015, -0.3079466431679968, 1.4726215563699971, 0.29529130166794215, 1.105616652868412, -0.11543205428837738]","[-0.0327404314648366, 0.012174299122537594, 0.01911722777615115, -0.016515088951720706, 0.03159957054351661, 0.008492981432738174, -0.02782237750127801, 0.008636965380697765, 0.006203039867593718, -0.009169353267010004, -0.023161624062853842, -0.01148195736014225, 0.01452923637877505, -0.00018454503563816033]",0.0422575736002,0.189555105675,1532096864.51,0
1532096865325082166,"[0.9905611402554321, -0.13707161418710403, -0.0, -0.0, 0.0, 0.0, -6.810331490522152e-05, -9.42398295893597e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.37583988621234893, 0.0, 0.10587138621234897]","[0.9991227950728719, -0.04119891262099207, 0.004947364883746054, -0.005281529013725111, -3.0490513281133946e-06, 0.0002641113006824347, 0.0017702530516627325, -0.0009787671879902815]","[0.9998381799999406, 0.006242292000937461, 0.016793801705785934, 0.0007815255078850692, -0.00238559040696324, 0.3691005438101945, 0.00015613084762685478, 0.10050723522981267]","[-1.080689465065274, -0.7842476778064178, 0.4088058799714628, 1.3575729972785913, -0.37850975941072584, 1.0918108257774433, 0.22050973825852824]","[0.9828981898375788, -0.8720680779128577, -0.3029612056073692, 1.4710875755821118, 0.3014272248194838, 1.1071506336562973, -0.12156797743991904]","[-0.0327091288237638, 0.013324850750264553, 0.019022374951850256, -0.017558575208203635, 0.03169836921029169, 0.009204776401188832, -0.027445281246188606, 0.009259064585036544, 0.004020987743000234, -0.009271812252164027, -0.02006797565586533, -0.012291021307510228, 0.013233305893380003, 0.0012839409016518824]",0.0398179635503,0.193212868658,1532096865.32,0
1532096866132492004,"[0.9894166413120205, -0.1451024117471539, -0.0, -0.0, 0.0, 0.0, -7.203768374634607e-05, -1.056465114070906e-05]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.37656796860694886, 0.0, 0.10659946860694888]","[0.9989438495609121, -0.045361549355793195, 0.00555038553400292, -0.004334832806222757, -5.90244531093638e-05, -0.000905635405020977, 0.002544910088911388, -0.000866436448448582]","[0.9997866479691482, 0.007602195197439172, 0.01913410970815869, -0.0008645205852658602, -0.0027144711420140047, 0.36875053391146917, -0.00011722146370605037, 0.10084040451072422]","[-1.0810729602622453, -0.7815632114276183, 0.4076553943805487, 1.3560390164907057, -0.3792767498046685, 1.096029272944128, 0.22127672865247094]","[0.9744612955042091, -0.865932154761316, -0.3006602344255411, 1.4684031092033123, 0.30833013836496814, 1.109068109641154, -0.126936910197518]","[-0.035456801851869654, 0.013858437236240164, 0.020102065534883078, -0.01785943288938082, 0.03363218772896643, 0.00922526058889992, -0.029974769839735384, 0.00809309642627254, 0.005758631994640157, -0.0095580620138758, -0.024898158641794434, -0.011910018586750018, 0.015270872666550925, -0.0009309605034957535]",0.0458477158969,0.201091383323,1532096866.13,0
